SCHOOL INFORMATION ,,,,,PERMANENT UTILIZATION (SY2021),,,,ADJUSTED UTILIZATION 1 (SY2021),,,,CLASSROOM DEDUCTIONS (SY2021),,,,,STUDENT DEDUCTIONS (SY2021),ADJUSTED UTILIZATION 2 (SY2021),,,FINAL STATUS (SY2021)
School ID,School Name,Grade Category,Co-Location,Grades Offered,SY2021 20th Day School Enrollment,Total Classrooms (CR's),Ideal Capacity (IC) for Permanent Bldg Only,Space Utilization (SU) for Permanent Bldg Only,Modular CR's,Leased CR's,Adjusted IC 1,Adjusted SU 1,Cluster Program CR's to Deduct,Pre-K Program CR's to Deduct,Other Qualifying CR's to Deduct,Small CR's to Deduct,"Total CR's Less Cluster, Pre-K, Other & Small",Students Assigned to Cluster or PK programs,Adjusted SY2021 20th Day School Enrollment ,Adjusted IC 2 After CR Deductions,SY2021 Adjusted SU 2,SY2021 SU Status
609772,ADDAMS,ES,No,'PK-8,615,22.5,510,121%,12,0,780,79%,2,3,0,1.5,28,49,566,630,90%,Efficient
609773,AGASSIZ,ES,No,'PK-8,461,25.5,570,81%,0,0,--,--,0,1,0,1.5,23,22,439,510,86%,Efficient
609774,ALCOTT ES,ES,No,'PK-8,614,34.5,780,79%,0,0,--,--,0,2,0,0.5,32,*,605,720,84%,Efficient
609848,ALDRIDGE,ES,No,'PK-8,188,25,570,33%,0,0,--,--,0,1,0,0,24,*,182,540,34%,Underutilized
609777,ARMOUR,ES,No,'PK-8,253,22.5,510,50%,0,0,--,--,1,2,0,0.5,19,20,233,420,56%,Underutilized
609779,ARMSTRONG G,ES,No,'PK-8,1221,56,1290,95%,0,0,--,--,1,3,0,7,45,60,1161,1020,114%,Overcrowded
610287,ASHBURN,ES,No,'PK-8,396,0,0,--,0,28,630,63%,4,2,0,0,22,65,331,480,69%,Underutilized
610268,ASHE,ES,No,'PK-8,328,30,690,48%,0,0,--,--,0,2,0,0,28,14,314,630,50%,Underutilized
609782,AUDUBON,ES,No,'PK-8,521,27.5,630,83%,0,0,--,--,0,2,0,1.5,24,20,501,540,93%,Efficient
609786,AVALON PARK,ES,No,'PK-8,227,34,780,29%,0,0,--,--,0,1,0,1,32,*,219,720,30%,Underutilized
610325,AVONDALE-LOGANDALE,ES,No,'PK-8,575,51,1170,49%,0,0,--,--,0,3,0,0,48,24,551,1080,51%,Underutilized
610544,AZUELA,ES,No,'PK-8,803,36,810,99%,0,0,--,--,0,2,0,0,34,25,778,780,100%,Efficient
609788,BARNARD,ES,No,'PK-8,266,16.5,360,74%,0,0,--,--,0,1,0,2.5,13,12,254,300,85%,Efficient
609789,BARRY,ES,No,'PK-6,504,30.5,690,73%,0,0,--,--,0,2,0,1.5,27,22,482,600,80%,Efficient
609790,BARTON,ES,No,'PK-8,331,37.5,840,39%,0,0,--,--,5,2,0,1.5,29,48,283,660,43%,Underutilized
609791,BASS,ES,No,'PK-8,381,35.5,810,47%,0,0,--,--,1,2,0,1.5,31,34,347,690,50%,Underutilized
609792,BATEMAN,ES,No,'PK-8,887,50.5,1140,78%,0,0,--,--,2,4,0,4.5,40,71,816,900,91%,Efficient
610246,BEASLEY,ES,No,'PK-8,1115,57.5,1320,85%,0,0,--,--,4,6,0,3.5,44,106,1009,990,102%,Efficient
609796,BEAUBIEN,ES,No,'PK-8,1020,47.5,1080,94%,0,0,--,--,2,1,0,5.5,39,36,984,900,109%,Efficient
610237,BEETHOVEN,ES,No,'PK-8,237,43,990,24%,0,0,--,--,1,2,0,0,40,24,213,900,24%,Underutilized
609797,BEIDLER,ES,No,'PK-8,334,35.5,810,41%,0,0,--,--,0,3,0,0.5,32,20,314,720,44%,Underutilized
609798,BELDING,ES,No,'PK-8,545,29,660,83%,0,0,--,--,0,2,0,1,26,30,515,600,86%,Efficient
609799,BELL,ES,No,'K-8,981,44.5,1020,96%,0,0,--,--,2,0,0,3.5,39,28,953,900,106%,Efficient
609800,BENNETT,ES,No,'PK-8,262,24,540,49%,0,0,--,--,0,2,0,0,22,14,248,480,52%,Underutilized
610350,BLACK,ES,No,'K-8,447,19.5,450,99%,0,0,--,--,0,0,0,0,19.5,0,447,450,99%,Efficient
609803,BLAINE,ES,No,'PK-8,746,39,900,83%,0,0,--,--,0,3,0,0,36,38,708,810,87%,Efficient
610238,BOND,ES,No,'PK-8,238,29,660,36%,0,0,--,--,4,2,0,3,20,38,200,450,44%,Underutilized
609804,BOONE,ES,No,'PK-8,789,39.5,900,88%,0,0,--,--,0,3,0,0.5,36,47,742,810,92%,Efficient
609815,BOUCHET,ES,No,'PK-8,605,52.5,1200,50%,0,0,--,--,1,3,0,3.5,45,29,576,1020,57%,Underutilized
609806,BRADWELL,ES,No,'PK-8,472,38,870,54%,0,0,--,--,0,2,0,1,35,*,463,780,59%,Underutilized
610242,BRENNEMANN,ES,No,'PK-8,371,29,660,56%,0,0,--,--,4,3,0,0,22,82,289,480,60%,Underutilized
609809,BRENTANO,ES,No,'PK-8,600,38,870,69%,0,0,--,--,1,3,0,0,34,55,545,780,70%,Efficient
609810,BRIDGE,ES,No,'PK-8,1063,23,510,208%,12,22,1290,82%,2,4,0,0,51,87,976,1170,83%,Efficient
609811,BRIGHT,ES,No,'PK-8,258,31.5,720,36%,0,0,--,--,5,2,0,0.5,24,49,209,540,39%,Underutilized
610317,BRIGHTON PARK,ES,No,'PK-8,369,31,690,54%,0,0,--,--,0,2,0,6,23,26,343,510,67%,Underutilized
610590,BRONZEVILLE CLASSICAL,ES,No,'K-4,268,27,600,45%,0,0,--,--,0,0,0,0,27,0,268,600,45%,Underutilized
610091,BROWN R,ES,No,'PK-8,303,17.5,390,78%,0,0,--,--,2,1,0,0.5,14,32,271,300,90%,Efficient
609812,BROWN W,ES,No,'PK-8,194,33.5,750,26%,0,0,--,--,4,1,0,1.5,27,32,162,600,27%,Underutilized
609813,BROWNELL,ES,No,'PK-6,175,20.5,450,39%,0,0,--,--,0,1,0,0.5,19,*,168,420,40%,Underutilized
609830,BRUNSON,ES,No,'PK-8,413,38.5,870,48%,0,0,--,--,3,3,0,1.5,31,61,352,690,51%,Underutilized
609817,BUDLONG,ES,No,'PK-8,647,40.5,930,70%,0,0,--,--,1,5,0,2.5,32,71,576,720,80%,Efficient
609818,BURBANK,ES,No,'PK-8,772,57,1290,60%,0,0,--,--,3,3,0,3,48,63,709,1080,66%,Underutilized
609819,BURKE,ES,No,'PK-8,277,30.5,690,40%,0,0,--,--,0,3,0,0.5,27,18,259,600,43%,Underutilized
609820,BURLEY,ES,No,'K-8,569,24.5,540,105%,0,0,--,--,0,0,0,0.5,24,0,569,540,105%,Efficient
609821,BURNHAM,ES,No,'PK-8,419,32,720,58%,0,0,--,--,1,2,0,0,29,10,409,660,62%,Underutilized
609827,BURNSIDE,ES,No,'PK-8,364,39,900,40%,0,0,--,--,3,2,0,0,34,50,314,780,40%,Underutilized
609828,BURR,ES,No,'K-8,492,19.5,450,109%,0,0,--,--,0,0,0,1.5,18,0,492,390,126%,Overcrowded
609829,BURROUGHS,ES,No,'PK-8,418,15.5,330,127%,4,0,450,93%,0,2,0,0.5,17,19,399,390,102%,Efficient
609832,BYRNE,ES,No,'K-8,621,40,900,69%,0,0,--,--,3,0,0,0,37,23,598,840,71%,Efficient
609833,CALDWELL,ES,No,'PK-8,246,33,750,33%,0,0,--,--,0,2,0,0,31,16,230,690,33%,Underutilized
610353,CALMECA,ES,No,'PK-8,705,36,810,87%,0,0,--,--,1,2,0,0,33,33,672,750,90%,Efficient
609835,CAMERON,ES,No,'PK-8,652,46.5,1050,62%,0,0,--,--,0,3,0,0.5,43,23,629,990,64%,Underutilized
610539,CAMRAS,ES,No,'PK-8,866,48.5,1110,78%,0,0,--,--,3,5,0,3.5,37,79,787,840,94%,Efficient
609836,CANTY,ES,No,'PK-8,765,43,990,77%,0,0,--,--,2,1,0,0,40,37,728,900,81%,Efficient
610024,CARDENAS,ES,No,'PK-8,979,60.5,1380,71%,0,0,--,--,1,5,0,0,54.5,41,938,1230,76%,Efficient
609837,CARNEGIE,ES,No,'K-8,567,29,660,86%,0,0,--,--,0,0,0,2,27,0,567,600,95%,Efficient
609839,CARROLL,ES,No,'PK-8,410,36,810,51%,0,0,--,--,1,3,0,2,30,45,365,690,53%,Underutilized
609842,CARSON,ES,No,'PK-8,914,51.5,1170,78%,0,0,--,--,0,5,0,1.5,45,33,881,1020,86%,Efficient
609844,CARTER,ES,No,'PK-8,298,35,780,38%,0,0,--,--,0,1,0,0,34,*,290,780,37%,Underutilized
609845,CARVER G,ES,No,'PK-8,372,44,990,38%,0,0,--,--,0,3,0,0,41,14,358,930,39%,Underutilized
610021,CASALS,ES,No,'PK-8,373,29,660,57%,0,0,--,--,1,3,0,0,25,32,341,570,60%,Underutilized
609849,CASSELL,ES,No,'K-8,386,15,330,117%,8,0,510,76%,2,0,0,1,20,10,376,450,84%,Efficient
610251,CATHER,ES,No,'PK-8,366,32.5,750,49%,0,0,--,--,4,2,0,0.5,26,57,309,600,52%,Underutilized
609851,CHALMERS,ES,No,'PK-8,275,30,690,40%,0,0,--,--,1,2,0,0,27,*,266,600,44%,Underutilized
609852,CHAPPELL,ES,No,'PK-8,555,32,720,77%,0,0,--,--,3,2,0,1,26,53,502,600,84%,Efficient
609853,CHASE,ES,No,'PK-8,388,37.5,840,46%,0,0,--,--,8,3,0,1,25.5,102,286,570,50%,Underutilized
610148,CHAVEZ,ES,No,'PK-8,836,22.5,510,164%,0,13,810,103%,2,2,0,0.5,31,47,789,690,114%,Overcrowded
609854,CHOPIN,ES,No,'PK-8,314,30,690,46%,0,0,--,--,4,2,0,1,23,50,264,510,52%,Underutilized
609855,CHRISTOPHER,ES,No,'K-8,339,20.5,450,75%,4,0,540,63%,12,0,0,3,9.5,135,204,210,97%,Efficient
610347,CLAREMONT,ES,No,'PK-8,420,36,810,52%,0,0,--,--,4,1,0,3,28,58,362,630,58%,Underutilized
609795,CLARK ES,ES,No,'PK-8,182,17,390,47%,0,0,--,--,0,1,0,1,15,*,177,330,54%,Underutilized
609856,CLAY,ES,No,'PK-8,546,29,660,83%,0,2,690,79%,2,3,0,0,26,45,501,600,84%,Efficient
609857,CLEVELAND,ES,No,'PK-8,524,30,690,76%,4,0,780,67%,5,4,0,1.5,23.5,103,421,540,78%,Efficient
609859,CLINTON,ES,No,'PK-8,1079,48,1080,100%,0,0,--,--,0,2,0,3,43,25,1054,990,107%,Efficient
609861,CLISSOLD,ES,No,'PK-8,425,24.5,540,79%,4,0,630,68%,3,1,0,0.5,24,43,382,540,71%,Efficient
610199,COLEMON,ES,No,'PK-8,211,13,300,70%,0,0,--,--,0,2,0,0,11,16,195,240,81%,Efficient
609862,COLES,ES,No,'PK-8,326,31.5,720,45%,8,0,900,36%,1,1,0,0.5,37,10,316,840,38%,Underutilized
610170,COLUMBIA EXPLORERS,ES,No,'PK-8,834,31,690,121%,6,13,1140,73%,3,5,0,1,41,77,757,930,81%,Efficient
609863,COLUMBUS,ES,No,'PK-8,250,12.5,270,93%,0,0,--,--,0,1,0,0.5,11,11,239,240,100%,Efficient
609864,COOK,ES,No,'PK-8,334,45.5,1050,32%,0,0,--,--,2,2,0,0.5,41,19,315,930,34%,Underutilized
609866,COONLEY,ES,No,'K-8,966,39,900,107%,0,0,--,--,2,0,0,2,35,23,943,780,121%,Overcrowded
609867,COOPER,ES,No,'PK-7,454,52,1200,38%,0,0,--,--,4,2,3,0,43,40,414,990,42%,Underutilized
609870,CORKERY,ES,No,'PK-8,422,35,780,54%,0,0,--,--,2,1,0,0,32,31,391,720,54%,Underutilized
610355,COURTENAY,ES,No,'PK-8,272,42,960,28%,0,0,--,--,7,3,0,1,31,68,204,690,30%,Underutilized
609873,CROWN,ES,No,'PK-8,178,32,720,25%,0,0,--,--,0,1,0,0,31,*,170,690,25%,Underutilized
610003,CUFFE,ES,No,'PK-8,213,28.5,630,34%,0,0,--,--,0,2,0,2.5,24,12,201,540,37%,Underutilized
610004,CULLEN,ES,No,'K-8,186,16,360,52%,0,0,--,--,0,0,0,0,16,0,186,360,52%,Underutilized
609900,CURTIS,ES,No,'PK-8,422,37,840,50%,0,0,--,--,0,3,0,2,32,12,410,720,57%,Underutilized
610239,DALEY,ES,No,'PK-8,541,32,720,75%,0,0,--,--,0,3,0,2,27,27,514,600,86%,Efficient
609875,DARWIN,ES,No,'PK-8,544,46,1050,52%,0,0,--,--,2,4,0,0,40,71,473,900,53%,Underutilized
610521,DAVIS M,ES,No,'PK-8,178,27.5,630,28%,0,0,--,--,0,1,0,2.5,24,*,175,540,32%,Underutilized
609876,DAVIS N,ES,No,'PK-8,581,43.5,990,59%,0,0,--,--,4,5,0,1.5,33,69,512,750,68%,Underutilized
609879,DAWES,ES,No,'PK-8,979,35,780,126%,16,0,1170,84%,4,5,0,1,41,78,901,930,97%,Efficient
610313,DE DIEGO,ES,No,'PK-8,454,59,1350,34%,0,0,--,--,5,4,0,2,48,44,410,1080,38%,Underutilized
609880,DECATUR,ES,No,'K-7,286,15,330,87%,0,0,--,--,0,0,0,0,15,0,286,330,87%,Efficient
609883,DENEEN,ES,No,'PK-8,446,33.5,750,60%,0,0,--,--,1,2,0,1.5,29,31,415,660,63%,Underutilized
610367,DEPRIEST,ES,No,'PK-8,483,35,780,62%,0,0,--,--,5,3,0,3,24,74,409,540,76%,Efficient
610252,DETT,ES,No,'PK-8,315,32,720,44%,0,0,--,--,6,2,1,0,23,79,236,510,46%,Underutilized
609884,DEVER,ES,No,'PK-8,713,38.5,870,82%,4,0,960,74%,2,4,0,1.5,35,56,657,780,84%,Efficient
609885,DEWEY,ES,No,'PK-8,291,26,600,49%,0,0,--,--,1,4,0,2,19,23,268,420,64%,Underutilized
609874,DIRKSEN,ES,No,'PK-8,892,52,1200,74%,0,3,1260,71%,1,3,0,0,51,45,847,1170,72%,Efficient
610363,DISNEY,ES,No,'PK-8,1538,82,1890,81%,0,0,--,--,0,3,0,0,79,43,1495,1800,83%,Efficient
610515,DISNEY II ES,ES,No,'PK-6,404,22,480,84%,0,0,--,--,0,2,0,0,20,12,392,450,87%,Efficient
609887,DIXON,ES,No,'PK-8,558,28.5,630,89%,0,0,--,--,0,1,0,0.5,27,12,546,600,91%,Efficient
609891,DOOLITTLE,ES,No,'PK-8,223,28.5,630,35%,0,0,--,--,0,2,0,0.5,26,12,211,600,35%,Underutilized
609893,DORE,ES,No,'PK-8,729,56,1290,57%,12,0,1560,47%,3,4,0,0,61,85,644,1380,47%,Underutilized
609894,DRAKE,ES,No,'PK-8,269,53,1200,22%,0,0,--,--,2,2,19,0,30,27,242,690,35%,Underutilized
609896,DRUMMOND,ES,No,'PK-8,347,19,420,83%,0,0,--,--,0,4,0,0,15,0,347,330,105%,Efficient
610364,DUBOIS,ES,No,'PK-8,213,15,330,65%,0,0,--,--,0,1,0,1,13,*,204,300,68%,Underutilized
610263,DULLES,ES,No,'PK-8,713,37,840,85%,0,0,--,--,0,3,0,1,33,25,688,750,92%,Efficient
610188,DUNNE,ES,No,'PK-8,203,18.5,420,48%,0,0,--,--,0,1,0,0.5,17,10,193,390,50%,Underutilized
610352,DURKIN PARK,ES,No,'PK-8,703,31,690,102%,4,0,780,90%,3,6,0,0,26,60,643,600,107%,Efficient
610254,DVORAK,ES,No,'PK-8,336,35,780,43%,0,0,--,--,0,3,0,0,32,18,318,720,44%,Underutilized
610316,EARHART,ES,No,'K-8,234,13.5,300,78%,0,0,--,--,0,0,0,0.5,13,0,234,300,78%,Efficient
609897,EARLE,ES,No,'PK-8,306,30.5,690,44%,0,0,--,--,2,2,0,0.5,26,29,277,600,46%,Underutilized
609898,EBERHART,ES,No,'K-8,1147,63.5,1440,80%,4,0,1530,75%,0,0,0,0.5,67,0,1147,1530,75%,Efficient
609899,EBINGER,ES,No,'K-8,847,35,780,109%,0,0,--,--,0,0,0,2,33,0,847,750,113%,Overcrowded
609901,EDGEBROOK,ES,No,'K-8,487,22.5,510,96%,0,0,--,--,0,0,0,0.5,22,0,487,480,102%,Efficient
610523,EDISON PARK,ES,No,'K-8,514,25.5,570,90%,0,0,--,--,3,0,0,0.5,22,32,482,480,100%,Efficient
609903,EDWARDS,ES,No,'PK-8,1344,71.5,1650,82%,0,0,--,--,1,6,0,1.5,63,146,1198,1440,83%,Efficient
609904,ELLINGTON,ES,No,'PK-8,432,41,930,47%,0,0,--,--,4,4,0,2,31,66,366,690,53%,Underutilized
609907,ERICSON,ES,No,'PK-8,454,32,720,63%,0,0,--,--,0,3,0,0,29,17,437,660,66%,Underutilized
609908,ESMOND,ES,No,'PK-8,240,18,390,62%,0,0,--,--,0,1,0,0,17,15,225,390,58%,Underutilized
609909,EVERETT,ES,No,'PK-5,124,14,300,41%,6,0,450,28%,3,2,0,0,15,34,90,330,27%,Underutilized
610319,EVERGREEN,ES,No,'6-8,252,19,420,60%,0,0,--,--,0,0,0,0,19,0,252,420,60%,Underutilized
610362,EVERS,ES,No,'PK-8,226,23,510,44%,0,0,--,--,0,2,0,1,20,14,212,450,47%,Underutilized
610057,FAIRFIELD,ES,No,'PK-8,503,0,0,--,0,31,690,73%,0,1,0,0.5,29.5,14,489,660,74%,Efficient
609910,FALCONER,ES,No,'PK-6,971,55.5,1260,77%,0,0,--,--,2,5,0,4.5,44,79,892,990,90%,Efficient
610055,FARADAY,ES,No,'PK-8,207,35,780,27%,0,0,--,--,0,1,0,0,34,*,199,780,26%,Underutilized
609912,FARNSWORTH,ES,No,'PK-8,566,22,480,118%,4,0,600,94%,5,2,0,1,18,111,455,390,117%,Overcrowded
609917,FERNWOOD,ES,No,'PK-8,261,22,480,54%,0,0,--,--,0,1,0,0,21,15,246,480,51%,Underutilized
609918,FIELD,ES,No,'5-8,137,35,780,18%,0,0,--,--,0,0,0,0,35,0,137,780,18%,Underutilized
609967,FINKL,ES,No,'PK-8,241,30,690,35%,0,0,--,--,5,2,0,0,23,47,194,510,38%,Underutilized
609919,FISKE,ES,No,'PK-8,381,38.5,870,44%,0,0,--,--,1,3,0,0.5,34,13,368,780,47%,Underutilized
609924,FORT DEARBORN,ES,No,'PK-8,363,23.5,540,67%,0,0,--,--,2,2,0,0.5,19,30,333,420,79%,Efficient
609927,FOSTER PARK,ES,No,'PK-8,322,34,780,41%,0,0,--,--,5,2,0,0,27,76,246,600,41%,Underutilized
609926,FRANKLIN,ES,No,'K-8,364,18,390,93%,0,0,--,--,0,0,0,2,16,0,364,360,101%,Efficient
610503,FRAZIER PROSPECTIVE,ES,No,'K-8,196,40,900,22%,0,0,--,--,0,0,0,2,38,0,196,870,23%,Underutilized
609928,FULLER,ES,No,'PK-8,339,32.5,750,45%,0,0,--,--,0,2,0,0.5,30,*,331,690,48%,Underutilized
609929,FULTON,ES,No,'PK-8,340,41.5,930,37%,0,0,--,--,1,2,0,0.5,38,34,306,870,35%,Underutilized
609930,FUNSTON,ES,No,'PK-8,423,36.5,840,50%,0,0,--,--,4,3,0,1.5,28,60,363,630,58%,Underutilized
609933,GALE,ES,No,'PK-8,212,42,960,22%,0,0,--,--,3,2,0,1,36,26,186,810,23%,Underutilized
610009,GALILEO,ES,No,'K-8,559,33,750,75%,0,0,--,--,0,0,0,0,33,0,559,750,75%,Efficient
609935,GALLISTEL,ES,No,'PK-8,628,30,690,91%,8,0,870,72%,0,3,0,0,35,27,601,780,77%,Efficient
610128,GARVEY,ES,No,'PK-8,234,27,600,39%,0,0,--,--,0,2,0,2,23,12,222,510,44%,Underutilized
609937,GARVY,ES,No,'K-8,774,31,690,112%,0,0,--,--,0,0,0,1,30,0,774,690,112%,Overcrowded
609938,GARY,ES,No,"'PK, 3-8",931,53,1200,78%,0,0,--,--,5,3,0,0,45,58,873,1020,86%,Efficient
609939,GILLESPIE,ES,No,'PK-8,429,41,930,46%,0,0,--,--,3,3,0,0,35,52,377,780,48%,Underutilized
609942,GOETHE,ES,No,'PK-8,740,36.5,840,88%,0,0,--,--,1,3,0,3.5,29,84,656,660,99%,Efficient
609945,GOUDY,ES,No,'PK-8,621,39.5,900,69%,0,0,--,--,0,3,0,0.5,36,40,581,810,72%,Efficient
609947,GRAHAM ES,ES,No,'PK-8,363,41.5,930,39%,0,0,--,--,0,2,0,0.5,39,17,346,900,38%,Underutilized
609949,GRAY,ES,No,'PK-8,1055,43.5,990,107%,4,0,1080,98%,0,2,0,2.5,43,30,1025,990,104%,Efficient
609850,GREELEY,ES,No,'PK-8,444,26.5,600,74%,0,0,--,--,0,2,0,2.5,22,21,423,480,88%,Efficient
610032,GREEN,ES,No,'PK-8,320,21,480,67%,0,0,--,--,3,1,0,0,17,45,275,390,71%,Efficient
609952,GREENE,ES,No,'PK-5,361,31.5,720,50%,0,0,--,--,1,3,0,1.5,26,38,323,600,54%,Underutilized
609954,GREGORY,ES,No,'PK-8,307,36,810,38%,0,0,--,--,3,2,0,0,31,15,292,690,42%,Underutilized
609955,GRESHAM,ES,No,'PK-8,365,41,930,39%,0,0,--,--,0,2,0,0,39,11,354,900,39%,Underutilized
609956,GRIMES,ES,No,'PK-8,428,14,300,143%,8,0,480,89%,0,1,0,1,20,14,414,450,92%,Efficient
609944,GRISSOM,ES,No,'PK-8,286,12,270,106%,2,1,330,87%,0,1,0,0,14,15,271,300,90%,Efficient
609958,GUNSAULUS,ES,No,'PK-8,726,35.5,810,90%,0,0,--,--,0,3,0,1.5,31,36,690,690,100%,Efficient
609959,HAINES,ES,No,'PK-8,597,30.5,690,87%,0,0,--,--,0,1,0,2.5,27,13,584,600,97%,Efficient
609960,HALE,ES,No,'K-8,815,39,900,91%,0,0,--,--,0,0,0,1,38,0,815,870,94%,Efficient
609808,HALEY,ES,No,'PK-8,447,39.5,900,50%,0,0,--,--,0,3,0,0.5,36,28,419,810,52%,Underutilized
609963,HAMILTON,ES,No,'K-8,460,24,540,85%,0,0,--,--,0,0,0,1,23,0,460,510,90%,Efficient
609964,HAMLINE,ES,No,'PK-8,534,36.5,840,64%,0,0,--,--,4,3,0,4.5,25,63,471,570,83%,Efficient
609966,HAMMOND,ES,No,'PK-8,310,21,480,65%,0,0,--,--,2,2,0,1,16,26,284,360,79%,Efficient
609807,HAMPTON,ES,No,'PK-8,458,30.5,690,66%,0,0,--,--,3,2,0,1.5,24,44,414,540,77%,Efficient
610068,HANSON PARK,ES,No,'PK-8,1304,48.5,1110,118%,6,19.5,1680,78%,10,6,0,5,53,183,1121,1200,93%,Efficient
609969,HARTE,ES,No,'PK-8,285,18.5,420,68%,0,0,--,--,1,2,0,0.5,15,33,252,330,76%,Efficient
609971,HARVARD,ES,No,'PK-8,354,26.5,600,59%,0,0,--,--,3,2,0,0.5,21,30,324,480,68%,Underutilized
609972,HAUGAN,ES,No,'PK-8,893,55,1260,71%,0,0,--,--,5,6,0,0,44,106,787,990,80%,Efficient
609974,HAWTHORNE,ES,No,'K-8,569,29,660,86%,0,0,--,--,0,0,0,0,29,0,569,660,86%,Efficient
